et-somali,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.58,0.4392681989201056,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.62,0.48067020671365274,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.31,0.2031008868100856,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.35,0.23398492474443774,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.38,0.2579876488204993,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-somali,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.12,0.22529234634905712,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.09,0.17417941876388504,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.38,0.5665515200100338,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.42,0.6069643914183797,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.28,0.4533564395785827,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-somali,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.18,0.17980639952101649,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-afar,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.14,0.13984208485927008,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-oromia,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.36,0.35969772300723235,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-amhara,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.32,0.31971453115451537,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
et-tigray,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/ETIR8AFL.dta,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.29,0.28972989098320767,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.94,0.9576197469106604,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.925,0.9467752670628629,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.96,0.9719219335519844,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.98,0.9860476019646736,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.985,0.9895518204610324,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.68,0.7957768321542225,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.62,0.7494876937246251,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.74,0.8392019541666231,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.825,0.8963146823570974,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.86,0.9184614181438403,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.74,0.7302876473200555,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.71,0.6996218838924797,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.81,0.8022035780174689,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.885,0.87982451515883,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.91,0.905829901591557,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.08,0.1090767846074162,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.069,0.09448935052037107,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.11199999999999999,0.1508010593541175,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.158,0.20898670938630748,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.185,0.24219343836823576,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.2,0.17119165625272537,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.225,0.19346144199099108,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.14,0.11855341158935341,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.085,0.071280519675967,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.06,0.05009474360629364,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.68,0.8181657902803167,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.715,0.8415746502033704,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.76,0.870216840083383,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.82,0.9060681789123906,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,insurance_coverage_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (insurance_coverage_rate); population-weighted logit-intercept shift,0.85,0.923069272591715,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-northern,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.42,0.4655699950449871,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-upper-east,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.38,0.424405720737099,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-volta,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.56,0.6049174165682352,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-ashanti,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.68,0.7188181673302014,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
gh-accra,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/GHIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.74,0.7739591974530462,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-garissa,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.624,0.9646761814453592,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-turkana,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.58,0.9578496229508395,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kilifi,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.812,0.986125515674288,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kisumu,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.885,0.992165316707269,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kakamega,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.841,0.9886414530080203,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-garissa,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.381,0.5728263273169042,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-turkana,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.325,0.5119503007200206,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kilifi,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.514,0.6973504313072472,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kisumu,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.62,0.7804423513553301,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kakamega,anc4_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (anc4_rate); annual_births-weighted logit-intercept shift,0.5479999999999999,0.7253767314602577,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-garissa,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.465,0.83898778940876,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-turkana,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.39799999999999996,0.7985312547223117,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kilifi,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.593,0.8972768089101187,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kisumu,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.682,0.9278366614094311,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kakamega,institutional_delivery_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (institutional_delivery_rate); annual_births-weighted logit-intercept shift,0.625,0.9090235991058421,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-garissa,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.032,0.11416702743912466,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-turkana,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.021,0.07717394179713531,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kilifi,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.054000000000000006,0.1820338607689678,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kisumu,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.07200000000000001,0.2322347489894108,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kakamega,cesarean_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (cesarean_rate); annual_births-weighted logit-intercept shift,0.057999999999999996,0.19357716981906403,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-garissa,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.48,0.10216164131757496,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-turkana,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.565,0.1380107326021412,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kilifi,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.32,0.05482815761915157,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kisumu,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.245,0.03846247119972135,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kakamega,tba_prevalence,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (tba_rate); annual_births-weighted logit-intercept shift,0.29,0.047935560016288514,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-garissa,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.22399999999999998,0.4538920299419448,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-turkana,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.168,0.3676482083181809,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kilifi,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.345,0.6026354414624713,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kisumu,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.462,0.7120282999069121,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
ke-kakamega,female_education_rate,EMPIRICALLY_ANCHORED,data/dhs/KEIR8CFL.DTA,DHS national weighted estimate (female_secondary_plus_rate); population-weighted logit-intercept shift,0.39,0.6479948395895592,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
tz-mwanza,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/TZIR82FL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.82,0.8924838215318227,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
tz-kigoma,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/TZIR82FL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.745,0.8418609616872174,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
tz-dodoma,anc1_rate,EMPIRICALLY_ANCHORED,data/dhs/TZIR82FL.DTA,DHS national weighted estimate (anc1_rate); annual_births-weighted logit-intercept shift,0.89,0.9364792452292434,expit(logit(original)+country_shift),DHS file provenance not externally verified in repository.
