territory_id,territory_name,country,scenario,cumulative_births,cumulative_maternal_deaths,horizon_mmr,deaths_avoided,mortality_reduction_percent,anc_coverage_final,facility_delivery_rate_final,delay_2_hours,facility_delay_index,complications,referrals,unreferred_complications,deaths_home,deaths_transit,deaths_facility,quality_factor,congestion,total_cost_usd,incremental_cost_usd,cost_per_death_avoided_usd
et-oromia,East Shewa (Adama),Ethiopia,baseline,217637.4210586866,939.6491171958926,431.7497940496701,0.0,0.0,88.78151637285939,71.29228511970324,2.71375,1.509,768.469270981654,133.94150320315237,86.66846405295598,12.332375389833423,4.596505768800474,4.926082286357188,0.6763333333333333,0.5111559592346564,0.0,0.0,
et-oromia,East Shewa (Adama),Ethiopia,scenario_a,217657.68196032694,473.0025437266508,217.31488613981762,466.6465734692418,49.6664760157785,89.37637677651064,83.10189889809821,0.6219,1.509,768.5116697836168,113.0324380303406,16.831440909608588,2.395193332442843,2.7724604227339675,5.742307149347512,0.6763333333333333,0.5899623297589274,7612500.0,7612500.0,16313.202395135051
et-oromia,East Shewa (Adama),Ethiopia,scenario_b,217689.83255875413,860.9046396410996,395.4730588571438,78.74447755479298,8.402258829648183,90.21859275849718,73.87706923271847,2.71375,1.509,768.4750985229047,121.88260762709513,78.86561032384188,11.222169121722136,4.182711235742483,4.594232551416743,0.6763333333333333,0.5273775814272798,14700000.0,14700000.0,186679.75782519174
et-oromia,East Shewa (Adama),Ethiopia,scenario_c,217759.12662262717,798.3994180291041,366.6433781270241,141.24969916678845,15.079663457848897,92.1622550501188,74.33396589418398,2.71375,1.509,768.4777679637695,128.76453880447175,68.47322721672305,9.743450356256398,4.418911067312468,4.36583648367142,0.6763333333333333,0.5314791957176451,4987500.0,4987500.0,35309.80971584748
et-oromia,East Shewa (Adama),Ethiopia,scenario_d,217831.87362989355,223.1617176191795,102.44676956612034,716.4873995767131,76.2717270562648,94.31481300415612,90.73534156925223,0.6219,0.55,768.5240808460776,65.22658480788303,5.974546240549884,0.8503125472435392,1.3849080149195365,2.871731452767146,0.8543333333333334,0.5494469647371307,27300000.0,27300000.0,38102.55423351243
et-somali,Jigjiga Zone & Godey,Ethiopia,baseline,151394.66211689523,1038.8467960292278,686.1845599464469,0.0,0.0,58.73841034877321,41.8862468096189,6.45,3.1610000000000005,566.5112533906986,90.59337535410984,238.6275762370952,19.997588951531068,3.4090748996387745,1.7147911765893988,0.40199999999999997,0.6473167951278206,0.0,0.0,
et-somali,Jigjiga Zone & Godey,Ethiopia,scenario_a,151405.8727587319,643.8603564164592,425.2545457351333,394.98643961276855,38.02621473028741,59.03847697499194,48.75777574039551,1.4045000000000003,3.1610000000000005,566.5349385207503,172.6371875462557,117.66791615955958,9.861001761232407,3.650070215392007,1.9961631475331383,0.40199999999999997,0.7803256952832934,4785000.0,4785000.0,12114.33993706481
et-somali,Jigjiga Zone & Godey,Ethiopia,scenario_b,151639.41842044692,873.6632091471572,576.1451858940612,165.18358688207059,16.036410679507814,65.23106756516714,52.56846811272439,6.45,3.1610000000000005,566.513874064112,73.94123101274785,194.76497780981185,16.321858635413303,2.782457361450053,1.9368955587991685,0.40199999999999997,0.7965519129829988,9240000.0,9240000.0,55937.76097498541
et-somali,Jigjiga Zone & Godey,Ethiopia,scenario_c,151529.0371927617,927.130743174128,611.8502171928376,111.71605285509975,10.832995536858297,62.18621660779694,44.76030581178412,6.45,3.1610000000000005,566.5129101782484,117.04503612057529,195.89496299865124,16.41652352454893,4.404473679002713,1.5575825912702665,0.40199999999999997,0.6998027467608565,3135000.0,3135000.0,28062.21594730188
et-somali,Jigjiga Zone & Godey,Ethiopia,scenario_d,151769.0655902711,333.7139863266914,219.88274423960317,705.1328097025364,67.9557429481124,69.11260074550755,65.26110444357877,1.4045000000000003,0.55,566.5411477435973,136.4912746021746,60.31886299662372,5.055056831641423,2.0690128145440605,0.896728472492568,0.8543333333333334,0.4118498267910195,17160000.0,17160000.0,24335.841083949883
et-amhara,West Gojjam (Bahir Dar),Ethiopia,baseline,192654.07120078534,880.2125005797645,456.8875680090878,0.0,0.0,86.95835234094218,68.23330718295108,3.2162499999999996,1.8510000000000002,684.584586823824,121.47505201682215,95.99483075236564,12.24021196384225,4.220455341125129,4.047178389846838,0.6196666666666667,0.5481058748592961,0.0,0.0,
et-amhara,West Gojjam (Bahir Dar),Ethiopia,scenario_a,192671.54730531844,455.4944060667016,236.40979295448273,424.71809451306297,48.2564618720857,87.5246709089329,79.52332639943427,0.7423000000000001,1.8510000000000002,684.6213285867448,116.26231167938536,23.925363175178973,3.0508875189246494,2.7518353876975405,4.717005303445847,0.6196666666666667,0.6344652945977154,6960000.0,6960000.0,16387.340426311723
et-amhara,West Gojjam (Bahir Dar),Ethiopia,scenario_b,192700.24966493607,814.6040552087594,422.7311882704766,65.60844537100513,7.4758829371193976,88.35505891862377,70.69865606415505,3.2162499999999996,1.8510000000000002,684.5890731059811,112.04835281209589,88.54544604590063,11.290417411182421,3.8929638316164636,3.7740789952933387,0.6196666666666667,0.5655318286905809,13440000.0,13440000.0,204851.67609137783
et-amhara,West Gojjam (Bahir Dar),Ethiopia,scenario_c,192769.61703600088,751.7029489670488,389.9488729215371,128.50955161271577,14.65102133972252,90.50620870320168,71.37768581642467,3.2162499999999996,1.8510000000000002,684.5915462346013,119.76869203817921,76.17725119928474,9.713408247021153,4.161220943724201,3.598645838529934,0.6196666666666667,0.5721102458547286,4560000.0,4560000.0,35483.74375892536
et-amhara,West Gojjam (Bahir Dar),Ethiopia,scenario_d,192834.0875463914,215.2135440070265,111.60555000694632,664.998956572738,75.57264460198085,92.6198884168855,87.66141150879153,0.7423000000000001,0.55,684.6330492445766,74.50470827490066,9.969346346200254,1.2713722609795957,1.4637938147254077,2.2147788557074777,0.8543333333333334,0.5333036471985801,24960000.0,24960000.0,37533.89347953038
gh-upper-east,Bolgatanga & Bongo,Ghana,baseline,52815.69124180407,237.4732378852713,449.6262991201925,0.0,0.0,94.35247159206897,69.71798597994447,2.71375,1.298,183.94839765693638,33.95346986676393,21.749809701377046,3.2034723141487254,1.1626492720543167,1.1179500265628293,0.724,0.4535055910982218,0.0,0.0,
gh-upper-east,Bolgatanga & Bongo,Ghana,scenario_a,52820.66978918731,116.95418341941475,221.41745624618326,120.51905446585654,50.7552256886569,94.99706499846855,81.27594650203693,0.6219,1.298,183.95868829612786,30.062892820621336,4.381630390096767,0.6454043733482994,0.7357697985370408,1.30333537019936,0.724,0.523823330245202,1783500.0,1783500.0,14798.489814780878
gh-upper-east,Bolgatanga & Bongo,Ghana,scenario_b,52828.27157679915,218.6507679257016,413.88968709271103,18.822469959569702,7.948069785377148,95.8736494317614,72.24119951675144,2.71375,1.298,183.94968594683039,31.12455452964843,19.937671781894554,2.9365877531347007,1.065787769860268,1.0425731441968844,0.724,0.4678363794271562,3444000.0,3444000.0,182972.79833080593
gh-upper-east,Bolgatanga & Bongo,Ghana,scenario_c,52844.269577120605,203.48378180893013,385.0630984916295,33.989456076341156,14.35930254856027,97.8516458303001,72.60814921066532,2.71375,1.298,183.95025166125646,32.9069471362569,17.480431325400104,2.574678777437524,1.126827790388262,0.9896547558435891,0.724,0.47104864566459875,1168500.0,1168500.0,34378.30830171334
gh-upper-east,Bolgatanga & Bongo,Ghana,scenario_d,52845.40821829403,61.46665812418385,116.31409463292843,176.00657976108744,74.13094054762226,98.0,88.15476633927342,0.6219,0.55,183.95140652457286,19.96633048382661,1.8231434412020882,0.2685688877215419,0.4387890127507719,0.6912529769616944,0.8543333333333334,0.5361095207669235,6396000.0,6396000.0,36339.550536587754
gh-accra,Greater Accra East,Ghana,baseline,374420.08266965405,982.7081113583436,262.4613787678088,0.0,0.0,98.0,90.25737389130586,0.7727499999999999,0.49200000000000016,1251.954248600356,93.84518017323552,28.128041319808375,7.804249751718226,3.5567581855437767,11.28772663362464,1,0.2856933494148196,0.0,0.0,
gh-accra,Greater Accra East,Ghana,scenario_a,374420.08266965405,586.3470147419574,156.6013795417282,396.36109661638613,40.333552968085094,98.0,98.0,0.4,0.49200000000000016,1251.954248600356,23.53673987368677,1.5023450983204327,0.4168679676456208,0.7670448420033378,12.255918248781235,1,0.3073449876081488,14790000.0,14790000.0,37314.45928033231
gh-accra,Greater Accra East,Ghana,scenario_b,374420.08266965405,781.3413907245524,208.6804172344355,201.36672063379115,20.49100015623693,98.0,93.68022166475218,0.7727499999999999,0.49200000000000016,1251.9542486003563,60.87483291563325,18.245900454626707,5.062872459456023,2.3073855444682243,10.54411188275144,1,0.29519593959748863,28560000.0,28560000.0,141830.7847002171
gh-accra,Greater Accra East,Ghana,scenario_c,374420.08266965405,793.753182912555,211.9953548573069,188.9549284457886,19.22798094996963,98.0,92.6137688490745,0.7727499999999999,0.49200000000000016,1251.954248600356,72.18976004613819,20.282474659316506,5.627930445592544,2.7362393044668583,9.844968849472503,1,0.2922730877380002,9690000.0,9690000.0,51282.07070174448
gh-accra,Greater Accra East,Ghana,scenario_d,374420.08266965405,372.46869895504085,99.47882504039323,610.2394124033027,62.097728241990616,98.0,98.0,0.4,0.49200000000000016,1251.954248600356,23.53673987368677,1.5023450983204327,0.4168679676456208,0.7670448420033378,7.35355094926874,1,0.3073449876081488,53040000.0,53040000.0,86916.70665962534
gh-volta,Ho Municipal & Central,Ghana,baseline,42696.36987470294,152.4251924675035,356.9980139173694,0.0,0.0,96.85038698762708,79.93968560703205,1.9975,0.8760000000000001,145.56363212116548,20.134246763525162,9.066275481803931,1.771231481931553,0.7001541511092813,1.0412276060233296,0.8833333333333333,0.38462711314910064,0.0,0.0,
gh-volta,Ho Municipal & Central,Ghana,scenario_a,42700.69872610247,69.07146677020404,161.75722840802464,83.35372569729947,54.68959991316229,97.56501754913346,93.23638506956978,0.4413,0.8760000000000001,145.5724708762035,9.255203692292346,0.5907576824867462,0.11543793279541024,0.2500815104764331,1.2144695507436765,0.8833333333333333,0.44182307705510077,1566000.0,1566000.0,18787.4025653869
gh-volta,Ho Municipal & Central,Ghana,scenario_b,42703.763286362424,133.93384119842153,313.63474994063046,18.491351269081974,12.146640117380539,98.0,82.87876425902152,1.9975,0.8760000000000001,145.56664830962626,17.184692197600825,7.738116819731356,1.5117862394299615,0.5975974467055464,0.9715739914982318,0.8833333333333333,0.3970111517294175,3023999.9999999995,3023999.9999999995,163535.91232979318
gh-volta,Ho Municipal & Central,Ghana,scenario_c,42703.763286362424,128.29177999327516,300.42265627265107,24.13341247422835,15.84752728002942,98.0,82.59804465945973,1.9975,0.8760000000000001,145.56664830962626,18.14242178846452,7.189021341097952,1.4045184866936022,0.6309062299959478,0.9144885629426702,0.8833333333333333,0.39615228664827445,1026000.0,1026000.0,42513.67273880755
gh-volta,Ho Municipal & Central,Ghana,scenario_d,42703.763286362424,34.81895245131201,81.53602814305489,117.60624001619149,77.16064936934714,98.0,98.0,0.4413,0.55,145.56664830962626,2.7366529882209836,0.17467997797155244,0.03412750700236086,0.07055624123625055,0.6942504145479055,0.9343333333333332,0.46103502602875834,5616000.0,5616000.0,47752.5682244991
gh-ashanti,Kumasi Metro,Ghana,baseline,320798.54989822983,954.3035458031015,297.47751232224863,0.0,0.0,98.0,87.66828945014919,0.8825000000000001,0.5880000000000001,1079.191801250834,100.25405273489214,32.828756473082066,8.915651230247306,3.822677711681724,9.250690031635898,1,0.30774735978068574,0.0,0.0,
gh-ashanti,Kumasi Metro,Ghana,scenario_a,320798.54989822983,494.7754624598506,154.23244980901978,459.52808334325096,48.15324069204118,98.0,98.0,0.4,0.5880000000000001,1079.1918012508343,20.28880586351572,1.2950301615010034,0.3517275749383635,0.6530483676571596,10.340790703187867,1,0.33970174811957105,12180000.0,12180000.0,26505.452966847246
gh-ashanti,Kumasi Metro,Ghana,scenario_b,320798.54989822983,783.1562415196252,244.12711396858674,171.1473042834764,17.934262639613905,98.0,90.9617393472544,0.8825000000000001,0.5880000000000001,1079.191801250834,73.4790405961175,24.061127343993235,6.534909848250531,2.8019102115621646,8.638318780045825,1,0.3178728124287055,23519999.999999996,23519999.999999996,137425.47741823102
gh-ashanti,Kumasi Metro,Ghana,scenario_c,320798.54989822983,778.0401006213095,242.53229974640942,176.263445181792,18.470375171188966,98.0,90.15526307242659,0.8825000000000001,0.5880000000000001,1079.191801250834,81.7399254536511,24.50366832343441,6.655112397520231,3.116919847454701,8.086078036862467,1,0.31547333372318015,7980000.0,7980000.0,45273.142095740295
gh-ashanti,Kumasi Metro,Ghana,scenario_d,320798.54989822983,314.39242256040893,98.00306848648376,639.9111232426926,67.05530185410456,98.0,98.0,0.4,0.55,1079.1918012508343,20.28880586351572,1.2950301615010034,0.3517275749383635,0.6530483676571596,6.204474421912719,1,0.33970174811957105,43680000.0,43680000.0,68259.47918932162
gh-northern,Tamale Metro & Sagnarigu,Ghana,baseline,79906.31788616559,336.97470873306673,421.71222207125146,0.0,0.0,95.42798558470356,72.77679393536866,2.2312499999999997,1.106,276.77250246163624,49.423437413607694,25.922911261760383,4.322690353595301,1.659843263066588,1.7904375540313313,0.7939999999999999,0.4130018633064017,0.0,0.0,
gh-northern,Tamale Metro & Sagnarigu,Ghana,scenario_a,79914.09442479616,160.09119714033122,200.32911377227256,176.88351159273552,52.49625140377708,96.10208632664488,84.85883926435753,0.5015000000000001,1.106,276.7884943748667,38.20842694068038,3.700563890382881,0.6171319228546589,0.9679417510838763,2.087759554535686,0.7939999999999999,0.47581175987789104,2697000.0,2697000.0,15247.322804228881
gh-northern,Tamale Metro & Sagnarigu,Ghana,scenario_b,79925.47093627902,306.89390144974,383.9750931144499,30.08080728332675,8.948549978337022,96.97949339061392,75.42062926395714,2.2312499999999997,1.106,276.7747568071711,44.62394631341767,23.40554726599793,3.9029516289839847,1.498670373661084,1.6699395701227746,0.7939999999999999,0.42604562635870885,5208000.0,5208000.0,173133.6513327786
gh-northern,Tamale Metro & Sagnarigu,Ghana,scenario_c,79937.79158792629,286.3385837657634,358.2017692480407,50.63612496730332,15.06014042260321,98.0,75.61919698738933,2.2312499999999997,1.106,276.7775088420776,46.86323784674522,20.61734136725282,3.4380322680562427,1.5738863071934608,1.581330280752085,0.7939999999999999,0.4278027862344893,1767000.0,1767000.0,34896.035214799405
gh-northern,Tamale Metro & Sagnarigu,Ghana,scenario_d,79937.79158792629,84.9504810511803,106.27073798722647,252.02422768188643,74.800175943378,98.0,91.36560117634102,0.5015000000000001,0.55,276.7775088420776,22.46418952955621,1.4338844380567792,0.23915592061248328,0.5281052422786674,1.1637420135477259,0.881,0.5067173236852425,9672000.0,9672000.0,38377.26272970997
ke-garissa,Garissa District,Kenya,baseline,111972.29163408182,749.3773257409842,669.2524684498738,0.0,0.0,96.1189500338805,83.59469169526874,5.4384375,2.7239549303337496,387.93717824995844,27.19196398264455,36.45032613793602,8.385536124551184,2.464003028887817,5.97925534666503,0.47450751161104177,1.010795775278125,0.0,0.0,
ke-garissa,Garissa District,Kenya,scenario_a,111982.87780756807,378.9671122158874,338.4152288594569,370.4102135250968,49.43384674496666,96.7802756124896,97.45960683205016,1.2239,2.911563052123547,387.95945894147263,7.184309299867138,2.6713862894972067,0.6149345409086273,0.39003602684571403,7.199702055212914,0.4432394913127422,1.1671358767696227,3659885.5499999993,3659885.5499999993,9880.628061439853
ke-garissa,Garissa District,Kenya,scenario_b,112004.46970096597,359.55692886785573,321.020160916627,389.8203968731285,52.03302549482176,98.0,98.0,5.4384375,2.917093202591774,387.9419064170086,3.3150605758099534,4.4437775525302445,1.0223337485709318,0.3067413173553838,6.52156733149287,0.44231779956803774,1.171744335493145,7067365.199999999,7067365.199999999,18129.79838071468
ke-garissa,Garissa District,Kenya,scenario_c,112004.46970096597,636.2503651063954,568.0580130463384,113.12696063458884,15.120520307967277,98.0,86.21049761524756,5.4384375,2.759721581429349,387.9419064170087,24.086641325619844,29.408617111207633,6.765816660482585,2.191223387490501,5.274176644669869,0.4685464030951086,1.0406013178577909,2397856.05,2397856.05,21196.150206362476
ke-garissa,Garissa District,Kenya,scenario_d,112004.46970096597,140.72100382036933,125.63873941466078,608.6563219206149,81.22700395776411,98.0,98.0,1.2239,0.55,387.9419064170086,5.834219536414769,1.9246185919254293,0.44277701041360595,0.23296066514715252,2.5313703860221852,0.8543333333333334,0.5864563981396375,13125106.800000003,13125106.800000003,21564.06879761592
ke-kakamega,Kakamega Central,Kenya,baseline,228446.3688397653,1201.7386331049754,526.0484722118248,0.0,0.0,98.0,90.57525809761682,2.6995,1.758,773.8440594339347,47.27443664060329,25.65836868796972,8.35805721784893,3.827061169297324,15.201771404013114,0.636,0.6675447956686319,0.0,0.0,
ke-kakamega,Kakamega Central,Kenya,scenario_a,228446.3688397653,791.2962136640551,346.38161144031085,410.4424194409203,34.154050484375745,98.0,98.0,0.6219,1.758,773.8440594339347,14.071451402736741,1.4054297859419282,0.45784567561529865,0.8141934026960339,16.447776282886352,0.636,0.7170973612574179,8123968.649999999,8123968.649999999,19793.19939948209
ke-kakamega,Kakamega Central,Kenya,scenario_b,228446.3688397653,773.9475701672638,338.78742485511725,427.79106293771156,35.59767915860477,98.0,98.0,2.6995,1.758,773.8440594339347,10.03198541249161,5.44489577618706,1.7737791031890497,0.8121936655601081,14.802998654597719,0.636,0.7165344382653154,15687663.6,15687663.6,36671.321491080795
ke-kakamega,Kakamega Central,Kenya,scenario_c,228446.3688397653,983.4227652791972,430.4829926926877,218.31586782577824,18.166668010140253,98.0,92.9024948049337,2.6995,1.758,773.8440594339347,36.1929736305486,18.730648689487005,6.1019080581640575,2.9302174514028123,13.253396688625193,0.636,0.6829819780376518,5322600.149999999,5322600.149999999,24380.271590004504
ke-kakamega,Kakamega Central,Kenya,scenario_d,228446.3688397653,363.9751781592614,159.32631365857142,837.763454945714,69.71261735849787,98.0,98.0,0.6219,0.55,773.8440594339347,14.238253489747725,1.2386276989309444,0.40350670045945164,0.691973258876069,7.150098565080266,0.8543333333333334,0.5867350413502614,29134232.400000002,29134232.400000002,34776.203507096005
ke-kilifi,Kilifi South,Kenya,baseline,185225.1042377458,907.0253202190174,489.68811433616713,0.0,0.0,98.0,89.40847836047429,2.9388750000000003,1.8119999999999998,630.5072696212316,41.88294337068121,24.89737053003426,6.927078944805206,3.0425888635084166,10.596436476080523,0.6243333333333333,0.7420926619502652,0.0,0.0,
ke-kilifi,Kilifi South,Kenya,scenario_a,185225.1042377458,567.4681144826366,306.3667405225279,339.55720573638087,37.436353557846516,98.0,98.0,0.6821000000000002,1.8119999999999998,630.5072696212316,11.23311751557187,1.3770278768527735,0.38314804740797803,0.5690385087301368,11.614592720182877,0.6243333333333333,0.8066986721969943,6323973.449999999,6323973.449999999,18624.17684903936
ke-kilifi,Kilifi South,Kenya,scenario_b,185225.1042377458,554.7888344414143,299.52140490055535,352.2364857776031,38.83425059099225,98.0,98.0,2.9388750000000003,1.8119999999999998,630.5072696212316,7.908767936493923,4.70137745593072,1.3081242744952308,0.5745689317788103,10.453133448164593,0.6243333333333333,0.8060560678313126,12211810.799999999,12211810.799999999,34669.35224793934
ke-kilifi,Kilifi South,Kenya,scenario_c,185225.1042377458,748.0748193594538,403.87334235172676,158.9505008595636,17.524373059528493,98.0,91.76590240814929,2.9388750000000003,1.8119999999999998,630.5072696212316,33.20091498973564,18.715668914589813,5.207548722851058,2.4120564255842916,9.244380373573769,0.6243333333333333,0.7597663835214881,4143292.9499999997,4143292.9499999997,26066.561146986845
ke-kilifi,Kilifi South,Kenya,scenario_d,185225.1042377458,255.62075063682886,138.00545648970274,651.4045695821885,71.81768304162615,98.0,98.0,0.6821000000000002,0.55,630.5072696212316,11.388600608260464,1.2215447841641787,0.3398860013957037,0.48045949587750303,4.975796327053774,0.8543333333333334,0.586711801770108,22679077.200000003,22679077.200000003,34815.655675468144
ke-kisumu,Kisumu West,Kenya,baseline,142169.34082755964,712.68678016421,501.2942846999928,0.0,0.0,98.0,92.44812721507128,2.345,1.202,478.26177595436576,24.554783043698745,11.562937855315742,4.579415673722427,2.050209774017721,9.751883406962607,0.7656666666666666,0.5322725603559967,0.0,0.0,
ke-kisumu,Kisumu West,Kenya,scenario_a,142169.34082755964,490.14412869294324,344.7607802356276,222.5426514712667,31.22587055985389,98.0,98.0,0.5316000000000001,1.202,478.26177595436576,8.95824161510524,0.6069939039820831,0.2404222499867819,0.5563285416102812,10.337428063216299,0.7656666666666666,0.5612437231581111,5026746.9,5026746.9,22587.790999915458
ke-kisumu,Kisumu West,Kenya,scenario_b,142169.34082755964,485.50490536911695,341.49761301770167,227.181874795093,31.876818978282163,98.0,98.0,2.345,1.202,478.26177595436576,6.502965222799513,3.062270296287811,1.2129247260495322,0.543027824000335,9.30368525689467,0.7656666666666666,0.5608132675670214,9706821.6,9706821.6,42727.09523484248
ke-kisumu,Kisumu West,Kenya,scenario_c,142169.34082755964,570.545958394892,401.3143446215453,142.140821769318,19.944360653998285,98.0,94.75310889387556,2.345,1.202,478.26177595436576,17.277550884077566,7.816323702464857,3.0959725532935645,1.44276988749498,8.49568857225112,0.7656666666666666,0.5441593600146001,3293385.9000000004,3293385.9000000004,23169.880819634454
ke-kisumu,Kisumu West,Kenya,scenario_d,142169.34082755964,263.9327587838677,185.64674862212215,448.75402138034224,62.96651402414746,98.0,98.0,0.5316000000000001,0.55,478.26177595436576,8.991321387942083,0.5739141311452407,0.2273197898758804,0.5122405155272995,5.2480956176980715,0.8676666666666666,0.5612495226571876,18026954.4,18026954.4,40171.126142892484
ke-turkana,Turkana Central,Kenya,baseline,130135.74553780227,974.4076548086863,748.7624947179767,0.0,0.0,95.40933086582125,79.54098005466513,6.959999999999999,3.7146029872444273,455.1462092731821,29.6116682879322,63.50678544770366,12.60688093767485,2.906146681374745,6.757640112875595,0.30923283545926217,1.3221691560370228,0.0,0.0,
ke-turkana,Turkana Central,Kenya,scenario_a,130147.51096424097,514.0696753458952,394.9900167411883,460.33797946279105,47.247622640345746,96.03338769745787,92.70948459847578,1.4948000000000001,3.968738161177895,455.1697467250516,21.403822214804308,11.780398273264389,2.33894534390361,1.186332623530719,8.174729460816677,0.2668769731370175,1.533948467648246,4032345.5999999996,4032345.5999999996,8759.532734417653
ke-turkana,Turkana Central,Kenya,scenario_b,130187.4028269449,409.2264232000928,314.3364214309337,565.1812316085934,58.01920854097676,98.0,98.0,6.959999999999999,4.060737719099519,455.1542207612686,2.894780844041672,6.208303571183714,1.232461353904409,0.2938019621937819,7.87958128319676,0.25154371348341353,1.6106147659162657,7786598.399999999,7786598.399999999,13777.170869312367
ke-turkana,Turkana Central,Kenya,scenario_c,130187.4028269449,838.9167860507391,644.3916752574685,135.49086875794717,13.939108889237264,98.0,82.33242384913812,6.959999999999999,3.7686119375780636,455.15422076126856,28.068757512271656,52.34596104458741,10.391532913548744,2.769444126277338,5.993460405838641,0.3002313437369894,1.3671766146483866,2641881.6,2641881.6,19498.595176326533
ke-turkana,Turkana Central,Kenya,scenario_d,130187.4028269449,147.80789622465667,113.53471458458563,826.5997585840296,84.83701902999978,98.0,98.0,1.4948000000000001,0.55,455.1542207612686,6.154140218913121,2.9489441963122642,0.5854191431045943,0.2254478412962568,2.5627577309205742,0.8543333333333334,0.5863279001382232,14460825.600000001,14460825.600000001,17494.350137207253
tz-arusha,Arusha Rural (Monduli),Tanzania,baseline,81331.73146014144,379.2631175017996,466.31629585762175,0.0,0.0,90.97910067042531,83.25634020825888,3.3674999999999997,1.491,286.6494703935284,28.44039990538798,19.55521221213208,4.077870144139917,1.5758967155417622,3.132278134831311,0.6793333333333333,0.5859831983198119,0.0,0.0,
